Name;Height;Country
Stephen Harper;188;Canada
Fidel Castro;190;Cuba
Franí_ois Hollande;170;France
Nicolas Sarkozy;165;France
Jacques Chirac;189;France
Franí_ois Mitterrand;172;France
Valí©ry Giscard däó»Estaing;189;France
Georges Pompidou;181;France
Charles de Gaulle;196;France
Gerhard Schrí_der;174;Germany
Helmut Kohl;193;Germany
Adolf Hitler;173;Germany
Viktor Orban;174;Hungary
Mahmoud Ahmadinejad;157;Iran
Saddam Hussein;188;Iraq
David Ben Gurion;152;Israel
Silvio Berlusconi;165;Italy
Benito Mussolini;169;Italy
Muammar Gaddafi;183;Libya
Benito Juarez;137;Mexico
Josef Stalin;165;Russia
Dmitry Medvedev;163;Russia
Vladimir Putin;170;Russia
Boris Yeltsin;187;Russia
Vladimir Lenin;165;Russia
Tony Blair;183;UK
David Cameron;185;UK
Winston Churchill;168;UK
Gordon Brown;180;UK
Nick Clegg;185;UK
Robert Gascoyne-Cecil;193;UK
Sir Alec Douglas-Home;185;UK
James Callaghan;185;UK
Edward Heath;183;UK
John Major;180;UK
Harold Wilson;173;UK
Hugo Chíçvez;173;Venezuela
Toomas Ilves;186;Eesti